last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Rodón, Carlos,607074,SF,FF,4-Seamer,-1.5,-16,1077,62.1,267,0.222,0.339,0.288,25.30,28.1,23.7,0.244,0.401,0.31,44
Gilbert, Logan,669302,SEA,FF,4-Seamer,-0.5,-6,1023,55.7,261,0.253,0.451,0.343,23.60,22.6,20.3,0.289,0.525,0.377,51.1
Manaea, Sean,640455,SD,SIFT,Sinker,-0.2,-1,983,62.5,257,0.222,0.369,0.308,24.40,23.3,20.8,0.248,0.427,0.333,43.1
Burnes, Corbin,669203,MIL,FC,Cutter,-2.1,-22,1032,56.7,250,0.187,0.271,0.261,31.70,26,25.3,0.246,0.373,0.307,38.5
McKenzie, Triston,663474,CLE,FF,4-Seamer,-0.8,-7,884,58.9,227,0.204,0.393,0.316,17.30,15,15,0.277,0.563,0.393,49.4
Valdez, Framber,664285,HOU,SIFT,Sinker,-1,-8,870,50.6,223,0.266,0.377,0.333,12.70,8.1,13,0.289,0.422,0.346,40.1
Pivetta, Nick,601713,BOS,FF,4-Seamer,-1,-9,890,50.8,223,0.21,0.395,0.31,19.70,20.2,20.2,0.25,0.52,0.364,49.7
Strider, Spencer,675911,ATL,FF,4-Seamer,-1.2,-10,892,68.6,219,0.192,0.295,0.262,28.70,34.2,26,0.227,0.402,0.312,43.3
Javier, Cristian,664299,HOU,FF,4-Seamer,-1.5,-12,837,60.5,213,0.178,0.297,0.271,28.40,31,24.3,0.183,0.354,0.284,38.3
Cole, Gerrit,543037,NYY,FF,4-Seamer,-1.4,-12,914,50.1,212,0.189,0.358,0.282,32.70,39.2,27.3,0.193,0.374,0.282,48.1
Mahle, Tyler,641816,CIN,FF,4-Seamer,-0.8,-7,845,50.5,211,0.2,0.378,0.302,29.20,32.2,22.1,0.177,0.34,0.28,45.8
Adon, Joan,672851,WSH,FF,4-Seamer,2.1,17,787,65.4,209,0.288,0.529,0.415,15.10,15.3,17.2,0.306,0.602,0.436,41
Ray, Robbie,592662,SEA,FF,4-Seamer,-0.8,-6,781,43,207,0.219,0.421,0.324,27.70,25.1,26.1,0.233,0.451,0.333,35.9
