last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Alcantara, Sandy,645261,97.9,97.7,,89.7,91.8,86.2,,
Cole, Gerrit,543037,97.8,,92.1,88.6,89.8,83,,
Burnes, Corbin,669203,96.2,96.3,95,87.9,90.3,81.8,,
Mikolas, Miles,571945,93.6,92.9,,87.8,82.6,76.1,,
Lyles, Jordan,543475,91.8,90.9,83.8,80,86.3,79,,
Webb, Logan,657277,92.6,91.9,,82.4,86.4,,,
Gilbert, Logan,669302,96,,,87.2,86.3,80.9,,
Wainwright, Adam,425794,88.2,88.8,84.4,,82.4,72.9,,
Pivetta, Nick,601713,93.3,89.7,,85.8,87,77.2,,
Rodón, Carlos,607074,95.7,,,85.4,85.1,80.1,,
Nola, Aaron,605400,92.7,92.1,87,,85.9,78.5,,
Kelly, Merrill,518876,92.6,92.6,91,85.5,88.6,82.2,,
Cease, Dylan,656302,96.9,96.5,,87.2,77.7,81.1,,
Darvish, Yu,506433,95.2,94.8,86.7,82.5,,73.2,89.4,
Ray, Robbie,592662,93.4,93.5,,87.1,86.3,79.7,,
Bumgarner, Madison,518516,91.3,91.4,87.5,,85.4,78.6,,
Bassitt, Chris,605135,93.2,92.8,89.1,78.7,85.5,71.7,,
Morton, Charlie,450203,95,94.8,88.3,,87.1,81.1,,
Manoah, Alek,666201,94,93.3,,81.6,86.7,,,
Pérez, Martín,527048,92.7,92.6,89.7,,84.3,79.5,,
Freeland, Kyle,607536,90.3,89.6,,85.5,84.7,80.8,,
Valdez, Framber,664285,94,94,83.3,,88.9,79.2,,
Fried, Max,608331,94.2,93.7,,87.4,86.6,74.4,,
Corbin, Patrick,571578,92,92.8,,81.8,82.3,74.2,,
López, Pablo,641154,93.1,93,88.6,,87.3,80.6,,
Wheeler, Zack,554430,95.9,95.4,,90.6,89.5,81.2,,
Gray, Josiah,680686,94.3,94.7,,85.6,88.1,82.6,,
Gallen, Zac,668678,94,94.7,89.8,86.8,86.3,81.1,,
Quantrill, Cal,615698,93.3,93.4,88.3,,85.2,81.9,,
Gibson, Kyle,502043,91.8,91.3,89,83.3,84.4,79,,
Márquez, Germán,608566,95.6,95.2,,87.5,87.6,86.8,,
Musgrove, Joe,605397,92.9,92.2,90,83,86.2,81.4,,
Bieber, Shane,669456,91.1,,86.8,84.9,86.4,82,,
Urquidy, José,664353,93.6,,87.4,79.8,86.1,77.8,,
Verlander, Justin,434378,95,,,87.3,86.2,78.9,,
Gonzales, Marco,594835,88.2,,86,,79.4,76.3,,
Taillon, Jameson,592791,94.1,94.2,90.7,86.1,87.7,81.1,,
Lauer, Eric,641778,93.4,,90,87.4,87.1,78.2,,
Wood, Alex,622072,,92.4,,84.5,85.7,,,
Wright, Kyle,657140,95.2,94.4,,89.9,87.9,84.4,,
McClanahan, Shane,663556,96.6,,,89,87.6,81.7,,
McKenzie, Triston,663474,92.4,,,87.5,,79.6,,
Quintana, José,500779,91,91.3,,,86.4,78.5,,
Gausman, Kevin,592332,95,,,84.2,84.5,,85.2,
Mahle, Tyler,641816,93.3,,85.6,83.9,,,85.4,
Cortes, Nestor,641482,91.8,90.9,86.8,77.2,82.8,72.7,,
Manaea, Sean,640455,,91,,81.5,84.7,76.9,,
