last_name, first_name,pitcher,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin
Bauer, Trevor,545333,2410,2343,2640,2737,1707,2548,,
Lynn, Lance,458681,2482,2308,2583,,1811,2352,,
Strasburg, Stephen,544931,2167,2129,,2250,1679,2773,,
Rodriguez, Eduardo,593958,2198,2139,2225,2197,2047,2285,,
Cole, Gerrit,543037,2530,2508,,2622,1870,2901,,
Minor, Mike,501985,2650,,,2737,2287,2534,,
Nola, Aaron,605400,2171,2132,,,1570,2574,,
Corbin, Patrick,571578,2283,2195,,2398,1646,1989,,
Verlander, Justin,434378,2577,,,2612,1866,2821,,
Bumgarner, Madison,518516,2405,2400,2488,,1641,2645,,
Bieber, Shane,669456,2254,2189,,2370,1725,2303,,
deGrom, Jacob,594798,2388,2281,,2454,1703,2567,,
Flaherty, Jack,656427,2222,2009,,2381,1700,2501,,
Gonzales, Marco,594835,2252,,2246,,2171,2346,,
López, Reynaldo,625643,2137,,,2120,1610,2084,,
Wheeler, Zack,554430,2341,2256,,2386,1771,2647,1383,
Morton, Charlie,450203,2259,2102,2436,,,2886,2124,
Berríos, José,621244,2190,2110,,,1705,2338,,
Syndergaard, Noah,592789,2197,2106,,2178,1689,2275,,
Alcantara, Sandy,645261,2356,2393,,2478,1923,2481,,
Greinke, Zack,425844,2326,2253,2409,2517,1780,2446,1703,
Castillo, Luis,622491,2170,2073,,2330,1972,,,
Ray, Robbie,592662,2257,2182,,2145,,2045,,
Stroman, Marcus,573186,2455,2345,2615,2838,1929,2686,,
Lester, Jon,452657,2251,2143,2391,,1939,2606,,
Teheran, Julio,527054,2400,2264,,2603,1704,2762,,
Boyd, Matthew,571510,2383,2353,2330,2377,1956,2247,,
Nova, Iván,467100,2246,2162,2143,,2000,2258,,
Samardzija, Jeff,502188,2571,2480,2607,2449,,2498,1451,
Leake, Mike,502190,2086,2023,2232,2506,1719,2572,,
Kelly, Merrill,518876,2411,2313,2433,,2109,2683,,
