last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Alcantara, Sandy,645261,97.9,97.6,,89.6,91.8,86,,
Mikolas, Miles,571945,93.4,92.8,,87.8,82.5,75.9,,
Nola, Aaron,605400,92.8,92.1,86.8,,85.9,78.5,,
Cease, Dylan,656302,96.8,96.5,,87.1,77.7,80.9,,
Cole, Gerrit,543037,97.8,,92.1,88.4,89.9,82.7,,
Gilbert, Logan,669302,96,,,87.3,86.2,80.8,,
Burnes, Corbin,669203,96.9,96.2,94.9,87.7,90.2,82,,
Rodón, Carlos,607074,95.9,,,85.4,85.2,80.2,,
Webb, Logan,657277,92.7,92,,82.5,86.5,,,
Lyles, Jordan,543475,91.9,90.9,,80,86.4,79.1,,
Fried, Max,608331,94.3,93.8,,87.4,86.6,74.4,,
Ray, Robbie,592662,93.3,93.5,,86.9,85.9,79.5,,
Pivetta, Nick,601713,93.3,,,85.3,86.9,77.2,,
Wainwright, Adam,425794,88.3,88.8,84.6,,82.5,72.9,,
López, Pablo,641154,92.9,92.9,88.5,,87.2,80.3,,
Kelly, Merrill,518876,92.6,92.6,91,85.5,88.5,82.2,,
Valdez, Framber,664285,94,94,83.7,,89.1,79.2,,
Corbin, Patrick,571578,91.9,92.6,,81.8,82,74.2,,
Bumgarner, Madison,518516,91.4,91.4,87.7,,85.3,78.5,,
Morton, Charlie,450203,95.1,94.8,88.3,,87.1,81,,
Manoah, Alek,666201,94,93.2,,81.4,86.7,,,
Darvish, Yu,506433,95.2,94.8,86.6,82.5,,73.4,89.3,
Pérez, Martín,527048,92.8,92.6,89.7,,84.4,79,,
Greene, Hunter,668881,98.7,,,87.9,89.6,,,
Bassitt, Chris,605135,93.2,92.8,88.9,78.4,85.7,71.7,,
Mahle, Tyler,641816,93.5,,85.8,84,,,85.5,
Skubal, Tarik,669373,94.2,94.9,,89.6,83.6,76.9,,
Márquez, Germán,608566,95.3,95,,87.1,87.6,86.6,,
Fedde, Erick,607200,93.1,92.7,88.8,,85.7,78.1,,
Wright, Kyle,657140,95.3,94.5,,89.8,88,84.3,,
Freeland, Kyle,607536,90.3,89.8,,85.5,84.9,80.7,,
Verlander, Justin,434378,95,,,87.4,86.1,78.8,,
Anderson, Ian,666120,93.9,93.8,,,88.1,81.7,,
McClanahan, Shane,663556,96.8,,,88.8,87.6,81.5,,
Lauer, Eric,641778,93.4,,90.9,88,87.3,78.3,,
Berríos, José,621244,93.8,93.6,,,84.7,82.8,,
Flexen, Chris,623167,91.6,,87.4,81.1,81,74.9,,
Gray, Josiah,680686,94.3,95.4,,85.5,88.1,82.6,,
Quantrill, Cal,615698,93.2,93.2,88.1,,85.1,81.6,,
Gonzales, Marco,594835,88,,86.1,,79.4,76.2,,
Wheeler, Zack,554430,95.9,95.3,,90.6,89.5,81.1,,
Gallen, Zac,668678,94.1,94.7,89.8,86.7,86.8,81,,
Manaea, Sean,640455,,90.9,,81.2,84.2,76.9,,
Quintana, José,500779,91,91.2,,,86.4,78.5,,
Gibson, Kyle,502043,91.9,91.2,88.9,83.3,84.2,79,,
Brubaker, JT,664141,92.8,93.3,,87,87.3,80.3,,
Rogers, Trevor,669432,94.6,,,80.5,85.5,,,
Dunning, Dane,641540,86.9,89.1,86.2,78.1,83.6,,,
Bieber, Shane,669456,90.9,,86.5,84.8,86.2,81.8,,
Montgomery, Jordan,656756,92.5,92.9,88,,82,80,,
Montas, Frankie,593423,96.2,95.6,89.4,87,,,86.4,
Carrasco, Carlos,471911,93.4,92.1,,85.5,87.7,81.2,,
